x,y,yaw
0.0449416709652234,0.118954186873433,1.34408497123317E-05
0.057989426256596,0.113168833466029,0.00125870794640903
0.0748486370924825,0.105264616933621,0.00334301280294147
0.0861970303681598,0.101340991934126,0.0033523923775598
0.0965543207851867,0.0958898272020008,0.00326651060182792
0.106785691894317,0.0887289127551821,0.00170591972276668
0.123030774109248,0.0741935050631206,-0.00482968386007254
0.130823216374049,0.0667702075223052,-0.0048329236743645
0.141094906850888,0.0557203828528581,-0.00531475483789912
0.150923197323691,0.0460459243047359,-0.00519137244302881
0.160938456796438,0.0359796807181793,-0.00595537640261634
0.170278000323408,0.0269732852560294,-0.00591948290807442
0.179605563311012,0.0172907729022817,-0.00713746106531854
0.188162950977139,0.00786683235349407,-0.00774610544292997
0.197022446855635,-0.00181084923881085,-0.0110094414969115
0.205281983737954,-0.0105255981991492,-0.0134397981672243
0.214192749952791,-0.0192061741083056,-0.016011975227892
0.222973760299571,-0.0270190438085068,-0.0158885186725972
0.232209811320714,-0.0355768739833334,-0.0144229431487579
0.242171517362225,-0.0457400441205227,-0.0148846939263549
0.25155909913967,-0.0553274913674495,-0.014749992793607
0.260934939815552,-0.0642978797936132,-0.0148808954400046
0.270855068378763,-0.0738524881707492,-0.0154936742765686
0.280510126053282,-0.0833101930118621,-0.0151307530099012
0.290008397336386,-0.0930660928238309,-0.0164636503205888
0.301329312622275,-0.103447490546504,-0.0162952754939725
0.310775538821746,-0.112924375621068,-0.0168240273570692
0.320817001192781,-0.122092510016677,-0.0162210604366266
0.329237117511544,-0.129844059005752,-0.015653378460706
0.339812517304268,-0.139462599869115,-0.0148973965740415
0.349944187668968,-0.14901019733299,-0.0143407787958834
0.358742959567048,-0.160262150723041,-0.0159972818067422
0.367962831172197,-0.169562741611024,-0.0173377339837433
0.378347006275512,-0.179684108916224,-0.0202570716040842
0.386981397514193,-0.189311072097225,-0.0206113782573712
0.39627980938971,-0.198300793517198,-0.0216020167998854
0.405754144466777,-0.207466967628504,-0.0211069908499899
0.414752811935708,-0.216878210999681,-0.0208269437984022
0.423953137695394,-0.22690490107532,-0.0221811221667878
0.433161904527496,-0.236861829192918,-0.0227906974116618
0.443250522264461,-0.247995137894165,-0.0244371031624652
0.452428126564365,-0.258223730209142,-0.0242652857897495
0.461758855117928,-0.267729834801521,-0.0240271852332419
0.471868700775117,-0.277995033454088,-0.0249024097624676
0.481157262400562,-0.287879923941744,-0.0245183914613301
0.490273918144455,-0.29829825258859,-0.0265459477130437
0.500023738491383,-0.307776939390607,-0.0265966298998129
0.508713265738968,-0.318110916577695,-0.0268196822886787
0.518381361979585,-0.327540785267096,-0.0271741940192812
0.527562361362105,-0.337190165784781,-0.027412705465912
0.537446909162038,-0.347264738075603,-0.0267883981352882
0.546372587272624,-0.362382021075534,-0.0227343156786555
0.555956926036718,-0.374561838654806,-0.0204187907374664
0.565793527591044,-0.384402896472157,-0.0204380796788541
0.576922859611015,-0.395664821272889,-0.0198324783825611
0.586400818635133,-0.405420084291451,-0.0206809513404246
0.595925108505005,-0.415336283201301,-0.0203202749968811
0.605043435814832,-0.424769288119326,-0.0210549583988912
0.614344431914674,-0.434580277227078,-0.0215470886004624
0.623531221013752,-0.444087020351272,-0.0217899823648481
0.632495855295693,-0.454070415641193,-0.0232368107701255
0.643699396410403,-0.464454585170087,-0.024684949997483
0.652845185420212,-0.476094647697668,-0.024307901886523
0.662840300985539,-0.486549019156043,-0.0235563324615893
0.672588047234594,-0.496138528390617,-0.0229335986213719
0.684537356230053,-0.506624357789582,-0.0214852584045089
0.69315560748904,-0.515661138865196,-0.0208745247133583
0.705331553694613,-0.526508544237001,-0.0207159930441645
0.713729294443368,-0.534537812907382,-0.0196707974028977
