x,y,yaw
0.5547811398863576,0.3419601186637629,-1.5258434795320641
0.5524720334052594,0.3525358233152776,-1.5301402191008469
0.5524547011976709,0.36681532730848554,-1.5282638969217106
0.5525802892242433,0.37714009944947735,-1.5301246836479925
0.5515610996271906,0.39034833852286616,-1.5299430992570482
0.5518500882153302,0.4100392519735142,-1.5319360559063209
0.5519759105815879,0.42151227713389045,-1.5312729547398534
0.5497693295136971,0.43787622960775324,-1.5262100756935137
0.5495789695748833,0.4559745925928194,-1.5316857246854723
0.551836680167806,0.4720447455297923,-1.5309598309023233
0.5509124745711178,0.48243633569486394,-1.5287471603172893
0.5498474969431325,0.5010164952886983,-1.5305161641254834
0.5491981466973104,0.5133228584737555,-1.5277522613300119
0.5486054337110975,0.5239692644211318,-1.52486417931246
0.5479669717089047,0.5348209763105105,-1.5219754121712032
0.5472817886018639,0.5458739654182739,-1.5190869939462348
0.5457664600868243,0.5685858579206339,-1.5133104306214975
0.5459293287950706,0.5795612166482352,-1.5310364737406188
0.5462026891715093,0.5969294655280177,-1.5314585967885197
0.5456382758519447,0.6069944421160274,-1.530689315661506
0.544816368141591,0.6175481621286404,-1.5294301311191547
0.5443720512838556,0.6314939058929887,-1.5322278003901506
0.5483601325011658,0.6219393166890639,-0.19141552680026933
0.5490887217761385,0.6115140973821623,0.05342302607477033
