x,y,yaw
1.6117394464595396,-0.02202843856691274,-0.07494160451537092
1.6263570761236767,-0.034069250755181704,-0.07388218538537385
1.636439882042726,-0.04166344532464518,-0.07045113044236509
1.6492986663731444,-0.050585753966333386,-0.06861049697945225
1.663308224771145,-0.06196427134647832,-0.0682566965250112
1.6791823344382404,-0.07397517315136841,-0.0699488957432965
1.6960320061468965,-0.08792913103948628,-0.0742093421717062
1.7097603722628067,-0.10074588947252687,-0.0823626296326289
1.7233567647362005,-0.11371525174754556,-0.09063674096570154
1.7361551358166631,-0.12766630815273078,-0.09723920038679827
1.7474678220438307,-0.14209471001981527,-0.10151736123218312
1.757150692576113,-0.15754934603093887,-0.10234860879765587
1.7663012184103837,-0.1739065158711719,-0.10219702877969615
1.7744319288291084,-0.18977247693641736,-0.10137128242518169
1.7826912001147688,-0.20561406406659363,-0.10135724355587858
1.790282749522895,-0.22038013606136655,-0.10246889985541051
1.7996358969381294,-0.23751637449987115,-0.10269596350154449
1.8071770131873897,-0.252035203977211,-0.10317857481131332
1.814189118701009,-0.26556142698999013,-0.10438004566199802
1.8202824405959144,-0.2788891168398672,-0.10496917405938601
1.8259013280507796,-0.2926752399715025,-0.10500816629927406
1.832734344048303,-0.30385936236443895,-0.10113102480965304
1.839672390848364,-0.3132462515029193,-0.09206483799934853
1.84335266522567,-0.32740199802263253,-0.08778116550267766
1.846882378174483,-0.34018471116259297,-0.08255279335658527
1.8505023325091325,-0.3516290235937758,-0.0779287321709721
1.8541232198309852,-0.36255230852283626,-0.07280755888480403
1.8603708632700606,-0.37888835652466,-0.052105333477623056
1.8719644434287896,-0.39775630666446343,-0.03561572316202206
1.8776744318636311,-0.4096926489681002,-0.02858888772427834
1.890471164415944,-0.4076160397292589,-0.020873534737669994
1.904670309860264,-0.40825314629889964,-0.01181280411020129
1.916243245615372,-0.4074196674008502,-0.007138941859827382
1.9276683442862639,-0.40696888756395694,-0.012687757753821634
1.938286692827097,-0.4069158114752472,-0.01219393655714423
1.9518149455508005,-0.4078817085235822,-0.013536040952253846
1.9665977130919974,-0.40834876544970033,-0.01462944109609726
1.9777530320360832,-0.4083303809163736,-0.014751389132640786
1.9911675977141814,-0.40899386994635334,-0.014492644317396093
2.00689934017009,-0.40909030577582783,-0.01514168240446573
2.017183246669565,-0.40977970944897535,-0.014881567691917005
2.0277101524417454,-0.41052553270685693,-0.014510706223778206
2.0400836533712536,-0.41050171537464325,-0.015758568675027947
2.0517445880625673,-0.4109233410065608,-0.015376548388796487
2.0621708057684303,-0.41169217335162284,-0.014899648786862282
2.072985192191669,-0.4118091693991829,-0.01477519183658465
2.0835956551116372,-0.41154472657343577,-0.016337559359104456
2.097272931646242,-0.4114185634553777,-0.01152682082644529
2.1072692381730116,-0.4110841464183773,-0.011642019138630279
2.1224288677155676,-0.4119360985109189,-0.01151121357564866
2.133200925425735,-0.412061403956245,-0.011633336499386691
2.1436504385230277,-0.4120977191134344,-0.01137805439922157
2.1563668219738994,-0.41333545323157367,-0.011751031564884223
2.1695512143646387,-0.4128140243717479,-0.01315153969271854
2.179658784273119,-0.413178467313844,-0.01294316710876398
2.191832780702506,-0.4145944694535739,-0.01287160192455972
2.205977534727468,-0.4161885692700566,-0.010405484446425868
2.2193648354468505,-0.41536788885314085,-0.012299838368252448
