x,y,yaw
2.225054769304864,-0.41509597059994563,-0.008299890064168352
2.227157963981434,-0.42695485609358047,-0.010989202768634387
2.227252799176692,-0.43794740285601563,-0.010496764810365246
2.227509503056244,-0.45417617587677384,-0.011179792389983827
2.2270465407954303,-0.47133906453285185,-0.011175758797464722
2.227607858966968,-0.48974852873543673,-0.012519850234470704
2.227299647190805,-0.5096146658338283,-0.011336229944304648
2.2274859052797655,-0.5292390038229424,-0.011653917622424327
2.227574510219531,-0.5411682884026098,-0.010449641318092041
2.227792312463044,-0.5606172784970626,-0.01182012516035661
2.2281336574957464,-0.5804993411369804,-0.01030459231226125
2.228623074961753,-0.5909486750882088,-0.010580078720921076
2.228810951935219,-0.601884351363927,-0.011069081044676441
2.2289020707219986,-0.6123606191341919,-0.010949298715144863
2.229345679825865,-0.6225676108909188,-0.011303927237752347
2.229529510419417,-0.632638245428441,-0.011883569642406814
2.229494641787114,-0.642638762739796,-0.010415487509188338
2.2295902667662815,-0.6532409090268289,-0.011150442560602302
2.2295894164246337,-0.674172911813912,-0.011052832076926014
2.2296763885829303,-0.6849623044899771,-0.010899620970771164
2.2296554614551676,-0.6950831221903668,-0.0113904881768249
2.2294173135765187,-0.7051436348683477,-0.011015071216607419
2.2300663728876287,-0.72315129359083,-0.008012987966734896
2.229934590196497,-0.741641326294376,-0.005658707921897315
2.2273247853664953,-0.7535583989125874,-0.009041472860411846
